ticker,metric,source_fiscal_years,source_year_count,review_pending_fiscal_years,review_pending_year_count,calculation_ready_fiscal_years,calculation_ready_year_count,missing_source_years,earliest_source_year,latest_source_year,coverage_status
AAPL,ebitda,,0,2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,11,2008 2009 2010 2011 2012 2013 2014,7,,,,DERIVED_CALCULATION_READY_5Y
AAPL,ebitda_margin,,0,,0,2008 2009 2010 2011 2012 2013 2014,7,2008 2009 2010 2011 2012 2013 2014,,,CALCULATION_READY_5Y
AAPL,equity_ratio,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,free_cash_flow,,0,,0,2013 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,12,,,,DERIVED_CALCULATION_READY_10Y
AAPL,free_cash_flow_margin,,0,,0,2013 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,12,2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,gross_margin,,0,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,gross_profit,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,2007,2025,CALCULATION_READY_10Y
AAPL,inventory,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,2008,2025,CALCULATION_READY_10Y
AAPL,inventory_days,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,inventory_intensity,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,long_term_debt,2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,14,,0,2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,14,,2012,2025,CALCULATION_READY_10Y
AAPL,net_debt,,0,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,12,,0,,,,DERIVED_SEMANTIC_REVIEW_REQUIRED
AAPL,net_debt_to_ebitda,,0,,0,,0,,,,DERIVED_UNAVAILABLE
AAPL,net_income,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,2007,2025,CALCULATION_READY_10Y
AAPL,net_margin,,0,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,operating_cash_flow,2007 2008 2009 2010 2011 2012 2013 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,,0,2007 2008 2009 2010 2011 2012 2013 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2014,2007,2025,CALCULATION_READY_10Y
AAPL,operating_cash_flow_margin,,0,,0,2007 2008 2009 2010 2011 2012 2013 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,operating_income,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,,2007,2025,CALCULATION_READY_10Y
AAPL,operating_margin,,0,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,19,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,payables_days,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,quick_ratio,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
AAPL,receivables_days,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,18,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,CALCULATION_READY_10Y
