ticker,fiscal_year,metric,requirement,final_status,final_provider,final_value,final_currency,final_field,final_filing_date,final_accession,dual_run_classification,sec_value,sec_field,edgartools_value,edgartools_field,reason,dependent_metrics_unavailable
ASML,2024,capital_expenditures,REQUIRED,PASS,edgartools,2067200000.0,EUR,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2026-02-25,0001628280-26-011378,VALUE_MATCH,2067200000,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2067200000.0,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,
ASML,2024,cash_and_equivalents,REQUIRED,PASS,edgartools,12735900000.0,EUR,us-gaap:CashAndCashEquivalentsAtCarryingValue,2026-02-25,0001628280-26-011378,VALUE_MATCH,12735900000,us-gaap:CashAndCashEquivalentsAtCarryingValue,12735900000.0,us-gaap:CashAndCashEquivalentsAtCarryingValue,,
ASML,2024,current_assets,REQUIRED,PASS,edgartools,30737400000.0,EUR,us-gaap:AssetsCurrent,2026-02-25,0001628280-26-011378,VALUE_MATCH,30737400000,us-gaap:AssetsCurrent,30737400000.0,us-gaap:AssetsCurrent,,
ASML,2024,current_liabilities,REQUIRED,PASS,edgartools,20051400000.0,EUR,us-gaap:LiabilitiesCurrent,2026-02-25,0001628280-26-011378,VALUE_MATCH,20051400000,us-gaap:LiabilitiesCurrent,20051400000.0,us-gaap:LiabilitiesCurrent,,
ASML,2024,depreciation_amortization,REQUIRED,PASS,edgartools,918600000.0,EUR,us-gaap:DepreciationDepletionAndAmortization,2026-02-25,0001628280-26-011378,VALUE_MATCH,918600000,us-gaap:DepreciationDepletionAndAmortization,918600000.0,us-gaap:DepreciationDepletionAndAmortization,,
ASML,2024,gross_profit,REQUIRED,PASS,edgartools,14492000000.0,EUR,us-gaap:GrossProfit,2026-02-25,0001628280-26-011378,VALUE_MATCH,14492000000,us-gaap:GrossProfit,14492000000.0,us-gaap:GrossProfit,,
ASML,2024,inventory,CONDITIONAL,PASS,edgartools,10891500000.0,EUR,us-gaap:InventoryNet,2026-02-25,0001628280-26-011378,VALUE_MATCH,10891500000,us-gaap:InventoryNet,10891500000.0,us-gaap:InventoryNet,,
ASML,2024,long_term_debt,REQUIRED,PASS,edgartools,3677300000.0,EUR,us-gaap:LongTermDebtNoncurrent,2026-02-25,0001628280-26-011378,VALUE_MATCH,3677300000,us-gaap:LongTermDebtNoncurrent,3677300000.0,us-gaap:LongTermDebtNoncurrent,,
ASML,2024,net_income,REQUIRED,PASS,edgartools,7571600000.0,EUR,us-gaap:NetIncomeLoss,2026-02-25,0001628280-26-011378,VALUE_MATCH,7571600000,us-gaap:NetIncomeLoss,7571600000.0,us-gaap:NetIncomeLoss,,
ASML,2024,operating_cash_flow,REQUIRED,PASS,edgartools,11166200000.0,EUR,us-gaap:NetCashProvidedByUsedInOperatingActivities,2026-02-25,0001628280-26-011378,VALUE_MATCH,11166200000,us-gaap:NetCashProvidedByUsedInOperatingActivities,11166200000.0,us-gaap:NetCashProvidedByUsedInOperatingActivities,,
ASML,2024,operating_income,REQUIRED,PASS,edgartools,9022600000.0,EUR,us-gaap:OperatingIncomeLoss,2026-02-25,0001628280-26-011378,VALUE_MATCH,9022600000,us-gaap:OperatingIncomeLoss,9022600000.0,us-gaap:OperatingIncomeLoss,,
ASML,2024,ppe_net,REQUIRED,PASS,edgartools,6846800000.0,EUR,us-gaap:PropertyPlantAndEquipmentNet,2026-02-25,0001628280-26-011378,VALUE_MATCH,6846800000,us-gaap:PropertyPlantAndEquipmentNet,6846800000.0,us-gaap:PropertyPlantAndEquipmentNet,,
ASML,2024,revenue,REQUIRED,PASS,edgartools,28262900000.0,EUR,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2026-02-25,0001628280-26-011378,VALUE_MATCH,28262900000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,28262900000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,,
ASML,2024,shareholders_equity,REQUIRED,PASS,edgartools,18476800000.0,EUR,us-gaap:StockholdersEquity,2026-02-25,0001628280-26-011378,VALUE_MATCH,18476800000,us-gaap:StockholdersEquity,18476800000.0,us-gaap:StockholdersEquity,,
ASML,2024,short_term_debt,REQUIRED,PASS,edgartools,1010300000.0,EUR,aggregation:us-gaap:LongTermDebtCurrent,2026-02-25,0001628280-26-011378,VALUE_MATCH,1010300000,aggregation:us-gaap:LongTermDebtCurrent,1010300000.0,aggregation:us-gaap:LongTermDebtCurrent,,
ASML,2024,total_assets,REQUIRED,PASS,edgartools,48589600000.0,EUR,us-gaap:Assets,2026-02-25,0001628280-26-011378,VALUE_MATCH,48589600000,us-gaap:Assets,48589600000.0,us-gaap:Assets,,
