ticker,analysis_id,analysis_as_of_date,financial_status,financial_source,financial_years,calculation_status,calculation_years,historical_status,history_years,quality_status,quality_score,quality_assessment,market_status,market_price,price_date,market_cap,enterprise_value,enterprise_value_status,enterprise_value_reason,trading_currency,financial_currency,assumption_status,assumption_confidence,assumption_warnings,valuation_status,bear_fair_value,base_fair_value,bull_fair_value,market_snapshot_id,valuation_mode,overall_validation_status,blockers
ASML,1,2026-08-23,REVIEW_REQUIRED,SEC,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,REVIEW_REQUIRED,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,READY,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,READY,7.567597677100415524799275257,SOLID,REVIEW_REQUIRED,1763.76000000,2026-08-21,679784260820.4000,,EV_REVIEW_REQUIRED,MISSING_NET_DEBT,EUR,EUR,REVIEW_REQUIRED,LOW,FCF_BASE_OUTLIER_REVIEW; NEGATIVE_FCF_YEARS_REVIEW; DISCOUNT_RATE_NOT_COMPANY_SPECIFIC; REQUIRED_RETURN_REVIEW; TERMINAL_GROWTH_GENERIC,READY_FOR_PREVIEW,262.1609834629210730317737460,355.2779728211184767382453028,525.2230892700856593020335679,bdb9bf63e6dfdee6ebf8c83dfe761b02176b64a3d059a1ff0627fb0e6cfb7150,PREVIEW,PASS,
AAPL,2,2026-08-23,REVIEW_REQUIRED,SEC,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,REVIEW_REQUIRED,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,READY,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,READY,7.057110664179463330104854019,SOLID,REVIEW_REQUIRED,309.35000000,2026-08-21,4514709583000.0000,,EV_REVIEW_REQUIRED,MISSING_NET_DEBT,USD,USD,REVIEW_REQUIRED,LOW,DISCOUNT_RATE_NOT_COMPANY_SPECIFIC; REQUIRED_RETURN_REVIEW; TERMINAL_GROWTH_GENERIC,READY_FOR_PREVIEW,90.60754323536194277039932453,123.1775301049945927403724827,182.6584563544017867879534597,5939e428bfe11bf9ed8a20e3fb811f3c1aa6773d98418b740eecbf4cd6143eb1,PREVIEW,PASS,
MSFT,3,2026-08-23,REVIEW_REQUIRED,SEC,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,REVIEW_REQUIRED,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,READY,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,READY,7.310067085151678039862367629,SOLID,READY,483.24000000,2026-08-21,3588320603070.8400,3666851603070.84000000,EV_READY,CURRENCY_MATCH,USD,USD,REVIEW_REQUIRED,LOW,DISCOUNT_RATE_NOT_COMPANY_SPECIFIC; REQUIRED_RETURN_REVIEW; TERMINAL_GROWTH_GENERIC,READY_FOR_PREVIEW,137.4983635788931053934150428,187.1317156259892007328853942,277.7934120778791574656736717,f566ff7c6b34dc452800ea113d1e69e350b9db5e870df6ca09fa014195c93f8b,PREVIEW,PASS,
TSM,4,2026-08-23,REVIEW_REQUIRED,SEC,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,REVIEW_REQUIRED,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,READY,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,READY,8.203288531100714661506045663,STRONG,REVIEW_REQUIRED,418.95000000,2026-08-21,2172886229614.59000,,EV_REVIEW_REQUIRED,MISSING_NET_DEBT,USD,TWD,REVIEW_REQUIRED,LOW,FCF_BASE_OUTLIER_REVIEW; GROWTH_SUSTAINABILITY_REVIEW; DISCOUNT_RATE_NOT_COMPANY_SPECIFIC; REQUIRED_RETURN_REVIEW; TERMINAL_GROWTH_GENERIC,READY_FOR_PREVIEW,96.28685398332139594322319785,131.4781723696472159834503345,195.7943674295528410020876367,2605f1fb6ed48ddd6630d7b433794d0f84dd72ef94bdb597a15cdcb8bb72a13c,PREVIEW,PASS,
ADBE,5,2026-08-23,REVIEW_REQUIRED,SEC,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,REVIEW_REQUIRED,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,READY,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,READY,8.00182239096195097934785624,STRONG,READY,275.30000000,2026-08-21,109431750000.0000,110210750000.00000000,EV_READY,CURRENCY_MATCH,USD,USD,REVIEW_REQUIRED,LOW,GROWTH_SUSTAINABILITY_REVIEW; DISCOUNT_RATE_NOT_COMPANY_SPECIFIC; REQUIRED_RETURN_REVIEW; TERMINAL_GROWTH_GENERIC,READY_FOR_PREVIEW,361.7139149126675894746433283,493.9146154014484910458359273,735.5266501184098144265859150,ed469c845e391a8c8bab0f3edfda2c4b83d458a9c25fe7a257b6ecac162857fa,PREVIEW,PASS,
