ticker,company,analysis_id,analysis_as_of_date,market_snapshot_id,valuation_snapshot_id,assumptions_hash,inputs_hash,quality_score,quality_assessment,historical_context_available,warnings,status
ASML,ASML Holding N.V.,valuation-v1:ASML:2026-08-23,2026-08-23,c21bae2ef59abe4e07ebf74fd6a7269bdba02514ec13a8f8a5db36e90246bdaf,68edfbe99d3a5d69f0f85c7e9911346e0b2fdf936779f93d6b5d781a8b3a20cb,3f3b185901360cc9e69f8fcf88ec21cb0d41548bec53507b8224065a63bd5339,6b011fbcb973e36dc32e68888b6cc74827c7b0981dede96fa80e126d0de8b367,8.033333333333333333333333333,STRONG,True,ASSUMPTIONS_NOT_COMPANY_SPECIFIC;OUTLIER_REVIEW,AVAILABLE
AAPL,Apple Inc.,valuation-v1:AAPL:2026-08-23,2026-08-23,17d2091c7c905f7089ab7e8bbf00d7be6b7d9e766343c7fb080c04848ab8b004,d89fb4c42c3201f719de56351a9df9f6aee08d0a225c36c7e31a3c64f7c15f3c,3f3b185901360cc9e69f8fcf88ec21cb0d41548bec53507b8224065a63bd5339,1f01789121c75462dec0c4bd65ad334878b8c45c7891f28e113f020fa521fcbe,7.707323658043125340595157266,SOLID,True,ASSUMPTIONS_NOT_COMPANY_SPECIFIC,AVAILABLE
MSFT,Microsoft Corporation,valuation-v1:MSFT:2026-08-23,2026-08-23,5790bd4e7777a39768a574a27421c72fa62640b2c10217e494e17c7f19ee7aa0,5ef7d5a5de1461a693c1296f879e90432ef22fc616746bea83489dbdae614d61,3f3b185901360cc9e69f8fcf88ec21cb0d41548bec53507b8224065a63bd5339,fbd3b81fa7c159019e5e313f421ac4aee80541e2cb8fc9adc897b6f1ee7aa7d9,7.971099601711631218802991919,SOLID,True,ASSUMPTIONS_NOT_COMPANY_SPECIFIC,AVAILABLE
TSM,Taiwan Semiconductor Manufacturing Company Limited,valuation-v1:TSM:2026-08-23,2026-08-23,09ef981fd9e4dbc2167fa46ab1c32b903ed20d56dd059f5a876762db4c8fa02f,dd3324a2ddc6461f70a8d625950f789b6b58d5c537f8d65a3e6ac9fac38bb49b,3f3b185901360cc9e69f8fcf88ec21cb0d41548bec53507b8224065a63bd5339,541daa803241a2228817a9646bbe717be7674ab55cf9ae94e78be302bacca9af,8.266973142126208103773367806,STRONG,True,ASSUMPTIONS_NOT_COMPANY_SPECIFIC;OUTLIER_REVIEW,AVAILABLE
ADBE,Adobe Inc.,valuation-v1:ADBE:2026-08-23,2026-08-23,c9e720a6e941f94f1da3c9aaa54108e6fd3cd0da4b527249b3527357d3f3f61b,2a02d5879140aa6530c00e5c239acdf41c3d90fdc17f0cf89fb2090cbddbd7eb,3f3b185901360cc9e69f8fcf88ec21cb0d41548bec53507b8224065a63bd5339,b1700ba4012ad00efeaf9211bcaee45db9dad6a8373c4b2888c0da65049f7b2b,8.255825793366261170620653158,STRONG,True,ASSUMPTIONS_NOT_COMPANY_SPECIFIC,AVAILABLE
