ticker,fiscal_year,metric,old_value,old_field,old_filing_date,edgartools_value,edgartools_field,edgartools_filing_date,classification
ASML,2024,short_term_debt,1010300000,aggregation:us-gaap:LongTermDebtCurrent,2026-02-25,1010300000.0,aggregation:us-gaap:LongTermDebtCurrent,2026-02-25,VALUE_MATCH
ASML,2024,total_assets,48589600000,us-gaap:Assets,2026-02-25,48589600000.0,us-gaap:Assets,2026-02-25,VALUE_MATCH
ASML,2024,total_liabilities,30112800000,us-gaap:Liabilities,2026-02-25,30112800000.0,us-gaap:Liabilities,2026-02-25,VALUE_MATCH
ASML,2025,accounts_payable,3521800000,us-gaap:AccountsPayableCurrent,2026-02-25,3521800000.0,us-gaap:AccountsPayableCurrent,2026-02-25,VALUE_MATCH
ASML,2025,accounts_receivable,3023000000,us-gaap:AccountsReceivableNetCurrent,2026-02-25,3023000000.0,us-gaap:AccountsReceivableNetCurrent,2026-02-25,VALUE_MATCH
ASML,2025,capital_expenditures,1573600000,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2026-02-25,1573600000.0,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2026-02-25,VALUE_MATCH
ASML,2025,cash_and_equivalents,12916000000,us-gaap:CashAndCashEquivalentsAtCarryingValue,2026-02-25,12916000000.0,us-gaap:CashAndCashEquivalentsAtCarryingValue,2026-02-25,VALUE_MATCH
ASML,2025,current_assets,30616100000,us-gaap:AssetsCurrent,2026-02-25,30616100000.0,us-gaap:AssetsCurrent,2026-02-25,VALUE_MATCH
ASML,2025,current_liabilities,24263900000,us-gaap:LiabilitiesCurrent,2026-02-25,24263900000.0,us-gaap:LiabilitiesCurrent,2026-02-25,VALUE_MATCH
ASML,2025,depreciation_amortization,1025900000,us-gaap:DepreciationDepletionAndAmortization,2026-02-25,1025900000.0,us-gaap:DepreciationDepletionAndAmortization,2026-02-25,VALUE_MATCH
ASML,2025,gross_profit,17258000000,us-gaap:GrossProfit,2026-02-25,17258000000.0,us-gaap:GrossProfit,2026-02-25,VALUE_MATCH
ASML,2025,inventory,11429300000,us-gaap:InventoryNet,2026-02-25,11429300000.0,us-gaap:InventoryNet,2026-02-25,VALUE_MATCH
ASML,2025,long_term_debt,2709000000,us-gaap:LongTermDebtNoncurrent,2026-02-25,2709000000.0,us-gaap:LongTermDebtNoncurrent,2026-02-25,VALUE_MATCH
ASML,2025,net_income,9609400000,us-gaap:NetIncomeLoss,2026-02-25,9609400000.0,us-gaap:NetIncomeLoss,2026-02-25,VALUE_MATCH
ASML,2025,operating_cash_flow,12658500000,us-gaap:NetCashProvidedByUsedInOperatingActivities,2026-02-25,12658500000.0,us-gaap:NetCashProvidedByUsedInOperatingActivities,2026-02-25,VALUE_MATCH
ASML,2025,operating_income,11301400000,us-gaap:OperatingIncomeLoss,2026-02-25,11301400000.0,us-gaap:OperatingIncomeLoss,2026-02-25,VALUE_MATCH
ASML,2025,ppe_net,7893800000,us-gaap:PropertyPlantAndEquipmentNet,2026-02-25,7893800000.0,us-gaap:PropertyPlantAndEquipmentNet,2026-02-25,VALUE_MATCH
ASML,2025,revenue,32667300000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2026-02-25,32667300000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2026-02-25,VALUE_MATCH
ASML,2025,shareholders_equity,19612200000,us-gaap:StockholdersEquity,2026-02-25,19612200000.0,us-gaap:StockholdersEquity,2026-02-25,VALUE_MATCH
ASML,2025,short_term_debt,1681900000,aggregation:us-gaap:LongTermDebtCurrent,2026-02-25,1681900000.0,aggregation:us-gaap:LongTermDebtCurrent,2026-02-25,VALUE_MATCH
ASML,2025,total_assets,50566600000,us-gaap:Assets,2026-02-25,50566600000.0,us-gaap:Assets,2026-02-25,VALUE_MATCH
ASML,2025,total_liabilities,30954400000,us-gaap:Liabilities,2026-02-25,30954400000.0,us-gaap:Liabilities,2026-02-25,VALUE_MATCH
AAPL,2023,accounts_payable,62611000000,us-gaap:AccountsPayableCurrent,2024-11-01,62611000000.0,us-gaap:AccountsPayableCurrent,2024-11-01,VALUE_MATCH
AAPL,2023,accounts_receivable,29508000000,us-gaap:AccountsReceivableNetCurrent,2024-11-01,29508000000.0,us-gaap:AccountsReceivableNetCurrent,2024-11-01,VALUE_MATCH
AAPL,2023,capital_expenditures,10959000000,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2025-10-31,10959000000.0,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2025-10-31,VALUE_MATCH
AAPL,2023,cash_and_equivalents,29965000000,us-gaap:CashAndCashEquivalentsAtCarryingValue,2024-11-01,29965000000.0,us-gaap:CashAndCashEquivalentsAtCarryingValue,2024-11-01,VALUE_MATCH
AAPL,2023,current_assets,143566000000,us-gaap:AssetsCurrent,2024-11-01,143566000000.0,us-gaap:AssetsCurrent,2024-11-01,VALUE_MATCH
AAPL,2023,current_liabilities,145308000000,us-gaap:LiabilitiesCurrent,2024-11-01,145308000000.0,us-gaap:LiabilitiesCurrent,2024-11-01,VALUE_MATCH
AAPL,2023,depreciation_amortization,11519000000,us-gaap:DepreciationDepletionAndAmortization,2025-10-31,11519000000.0,us-gaap:DepreciationDepletionAndAmortization,2025-10-31,VALUE_MATCH
AAPL,2023,gross_profit,169148000000,us-gaap:GrossProfit,2025-10-31,169148000000.0,us-gaap:GrossProfit,2025-10-31,VALUE_MATCH
AAPL,2023,inventory,6331000000,us-gaap:InventoryNet,2024-11-01,6331000000.0,us-gaap:InventoryNet,2024-11-01,VALUE_MATCH
AAPL,2023,long_term_debt,95281000000,us-gaap:LongTermDebtNoncurrent,2024-11-01,95281000000.0,us-gaap:LongTermDebtNoncurrent,2024-11-01,VALUE_MATCH
AAPL,2023,net_income,96995000000,us-gaap:NetIncomeLoss,2025-10-31,96995000000.0,us-gaap:NetIncomeLoss,2025-10-31,VALUE_MATCH
AAPL,2023,operating_cash_flow,110543000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,2025-10-31,110543000000.0,us-gaap:NetCashProvidedByUsedInOperatingActivities,2025-10-31,VALUE_MATCH
AAPL,2023,operating_income,114301000000,us-gaap:OperatingIncomeLoss,2025-10-31,114301000000.0,us-gaap:OperatingIncomeLoss,2025-10-31,VALUE_MATCH
AAPL,2023,ppe_net,43715000000,us-gaap:PropertyPlantAndEquipmentNet,2024-11-01,43715000000.0,us-gaap:PropertyPlantAndEquipmentNet,2024-11-01,VALUE_MATCH
AAPL,2023,revenue,383285000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2025-10-31,383285000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2025-10-31,VALUE_MATCH
AAPL,2023,shareholders_equity,62146000000,us-gaap:StockholdersEquity,2025-10-31,62146000000.0,us-gaap:StockholdersEquity,2025-10-31,VALUE_MATCH
AAPL,2023,short_term_debt,9822000000,aggregation:us-gaap:LongTermDebtCurrent,2024-11-01,9822000000.0,aggregation:us-gaap:LongTermDebtCurrent,2024-11-01,VALUE_MATCH
AAPL,2023,total_assets,352583000000,us-gaap:Assets,2024-11-01,352583000000.0,us-gaap:Assets,2024-11-01,VALUE_MATCH
AAPL,2023,total_liabilities,290437000000,us-gaap:Liabilities,2024-11-01,290437000000.0,us-gaap:Liabilities,2024-11-01,VALUE_MATCH
AAPL,2024,accounts_payable,68960000000,us-gaap:AccountsPayableCurrent,2025-10-31,68960000000.0,us-gaap:AccountsPayableCurrent,2025-10-31,VALUE_MATCH
AAPL,2024,accounts_receivable,33410000000,us-gaap:AccountsReceivableNetCurrent,2025-10-31,33410000000.0,us-gaap:AccountsReceivableNetCurrent,2025-10-31,VALUE_MATCH
AAPL,2024,capital_expenditures,9447000000,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2025-10-31,9447000000.0,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2025-10-31,VALUE_MATCH
