ticker,discount_rate,terminal_growth_rate,status,fair_value_per_unit,currency,issues,inputs_hash
MSFT,0.10,0.02,AVAILABLE,139.4708035647210734497518227,USD,,a14c43c8d9ee538e10130fab501d567f5d991cf6f2b54b9a515c1a8a7cf02969
MSFT,0.10,0.03,AVAILABLE,154.4828224839048887288436240,USD,,49f10c3922533c1de3c03c5062f85dd15002610b254faa35df266e9e0d9b63f8
TSM,0.07,0.01,AVAILABLE,105.6810624207653317029103547,USD,,1530110df8b8e0139f173ad4ad9818b4662a26c734a84f22661fb57c8702df22
TSM,0.07,0.02,AVAILABLE,122.7928361658829693226217508,USD,,0d5650af6a19c8a68c3ece7029b5b029d39709b95f0623c6a9fd0e3f6a3377ee
TSM,0.07,0.03,AVAILABLE,148.4604967835594257521888451,USD,,44631c15740b6c98bae936a9cbdc0d101f806e68ea61c2cad398e21086cf18db
TSM,0.08,0.01,AVAILABLE,90.32251901844279848566036954,USD,,1428bc5819069d7f1bf94b11a2daef6b9ad4ce52ce2b1a6d6497efb9191649e8
TSM,0.08,0.02,AVAILABLE,102.0987707971325909999548497,USD,,83fff01ea16b802e35ea62653b08eb1c556b06dcf1ca7926e40c3bc09f078551
TSM,0.08,0.03,AVAILABLE,118.5855232872983005199671219,USD,,a51b4827dbc2428e8db67c3091345c03d27788e4988221bb84ad0f569c76389d
TSM,0.09,0.01,AVAILABLE,78.81186548997372425020083591,USD,,07a8f50a2b26358d7a7e92d88a060a91a46dd8b5dd1d60174b50a08f22d594d4
TSM,0.09,0.02,AVAILABLE,87.32437041083045706445959627,USD,,d17b959186a91568cb82b23a967a7f4c09222b6a12f2583c402f44ff9eee8a50
TSM,0.09,0.03,AVAILABLE,98.67437697197276748347127667,USD,,554d9c2f8ee5a4d32c9bcfb800518583f38ad4bea6258849149d71465cc1a1dd
TSM,0.10,0.01,AVAILABLE,69.86612696719900153982240700,USD,,6a33606e9f2e56fde92b3c5fa42a7994bb6479680b7e46c3cb19a4d85de5bef4
