ticker,stage,status,snapshot_id,engine_version,inputs_hash,warnings,blockers
AAPL,BUSINESS_QUALITY,READY,253f8271c9415788f0c3e739cb0137d7bd45a1043eb48a743108a216453ec792,quality-v1.0,4bbbafe42385a85c4a63ca6e58aaaddc0e707abee57021cb7168753135a49924,,
AAPL,MARKET_DATA,REVIEW_REQUIRED,941560e71e788df68ad956497c4515546b096f22bca99f367e092bcc00676b73,market-data-v1.0,9166e77dd62a293627c6733c29e91234cf7010279d192665a6139841f06f8965|747c1bf471309c07015881fc0ccf4383e06e9b7b68bde998788d02131dae4b8c,,
AAPL,ASSUMPTIONS,REVIEW_REQUIRED,9d464eed841c38a91e015ca4f999eadf12c3791c27d804492b3e6372920a1dd2,assumption-engine-v1.0,b8e2e8154ddc06f281a05660979b2c74fe9ff6a715a1a6391a7d4420f0246bf6,,
AAPL,VALUATION,READY_FOR_PREVIEW,3526d5cd2a3f290b28241584174595f27e1a5360c9276013e7962c225078698b,valuation-v1.0,5ef070181ef72833b98cd33282e996f2ce0d12d533cc2c34905bf11c286a7970,,
MSFT,FINANCIAL_DATA,REVIEW_REQUIRED,b6dd70f085be245d39f5d2b459fb4939bfb53becc87de8d6380b6305d7ceb45a,preferred-data-v1,c56ca5449c1d9e88a6ebadc6e70b845a8392256b12af717ea53b3a65c19080b3,,2009 short_term_debt: primary_semantic_review_required; 2010 short_term_debt: primary_semantic_review_required; 2011 short_term_debt: primary_semantic_review_required; 2012 short_term_debt: primary_semantic_review_required; 2018 short_term_debt: primary_semantic_review_required; 2019 short_term_debt: primary_semantic_review_required; 2020 short_term_debt: primary_semantic_review_required; 2021 short_term_debt: primary_semantic_review_required; 2022 short_term_debt: primary_semantic_review_required; 2023 short_term_debt: primary_semantic_review_required; 2024 short_term_debt: primary_semantic_review_required; 2025 short_term_debt: primary_semantic_review_required; 2026 short_term_debt: primary_semantic_review_required
MSFT,CALCULATION,REVIEW_REQUIRED,3b50c7a4bce86fb30361d072be3b016842043910a3e507de40d626698103123f,calc-v1.0,d86d14d78e02dd3b653817a185a31a4f2c30bc221900d5647f7411c669889a66,2007:operating_margin:MISSING_INPUT; 2007:ebitda:MISSING_INPUT; 2007:ebitda_margin:MISSING_INPUT; 2007:return_on_assets:MISSING_INPUT; 2007:return_on_equity:MISSING_INPUT; 2007:equity_ratio:MISSING_INPUT; 2007:debt_to_assets:MISSING_INPUT; 2007:debt_to_equity:MISSING_INPUT; 2007:net_debt:MISSING_INPUT; 2007:net_debt_to_ebitda:MISSING_INPUT; 2007:current_ratio:MISSING_INPUT; 2007:quick_ratio:MISSING_INPUT; 2007:cash_ratio:MISSING_INPUT; 2007:operating_cash_flow_margin:MISSING_INPUT; 2007:capex_ratio:MISSING_INPUT; 2007:free_cash_flow:MISSING_INPUT; 2007:free_cash_flow_margin:MISSING_INPUT; 2007:working_capital:MISSING_INPUT; 2007:working_capital_to_revenue:MISSING_INPUT; 2007:receivables_days:MISSING_INPUT; 2007:payables_days:MISSING_INPUT; 2007:inventory_intensity:MISSING_INPUT; 2007:inventory_days:MISSING_INPUT; 2008:return_on_assets:MISSING_INPUT; 2008:equity_ratio:MISSING_INPUT; 2008:debt_to_assets:MISSING_INPUT; 2008:debt_to_equity:MISSING_INPUT; 2008:net_debt:MISSING_INPUT; 2008:net_debt_to_ebitda:MISSING_INPUT; 2008:current_ratio:MISSING_INPUT; 2008:quick_ratio:MISSING_INPUT; 2008:cash_ratio:MISSING_INPUT; 2008:working_capital:MISSING_INPUT; 2008:working_capital_to_revenue:MISSING_INPUT; 2008:receivables_days:MISSING_INPUT; 2008:payables_days:MISSING_INPUT; 2008:inventory_intensity:MISSING_INPUT; 2008:inventory_days:MISSING_INPUT; 2009:ebitda:MISSING_INPUT; 2009:ebitda_margin:MISSING_INPUT; 2009:debt_to_assets:MISSING_INPUT; 2009:debt_to_equity:MISSING_INPUT; 2009:net_debt:MISSING_INPUT; 2009:net_debt_to_ebitda:MISSING_INPUT; 2010:debt_to_assets:MISSING_INPUT; 2010:debt_to_equity:MISSING_INPUT; 2010:net_debt:MISSING_INPUT; 2010:net_debt_to_ebitda:MISSING_INPUT; 2011:debt_to_assets:MISSING_INPUT; 2011:debt_to_equity:MISSING_INPUT; 2011:net_debt:MISSING_INPUT; 2011:net_debt_to_ebitda:MISSING_INPUT; 2012:debt_to_assets:MISSING_INPUT; 2012:debt_to_equity:MISSING_INPUT; 2012:net_debt:MISSING_INPUT; 2012:net_debt_to_ebitda:MISSING_INPUT; 2014:operating_cash_flow_margin:MISSING_INPUT; 2014:capex_ratio:MISSING_INPUT; 2014:free_cash_flow:MISSING_INPUT; 2014:free_cash_flow_margin:MISSING_INPUT; 2015:operating_cash_flow_margin:MISSING_INPUT; 2015:capex_ratio:MISSING_INPUT; 2015:free_cash_flow:MISSING_INPUT; 2015:free_cash_flow_margin:MISSING_INPUT; 2018:debt_to_assets:MISSING_INPUT; 2018:debt_to_equity:MISSING_INPUT; 2018:net_debt:MISSING_INPUT; 2018:net_debt_to_ebitda:MISSING_INPUT; 2019:debt_to_assets:MISSING_INPUT; 2019:debt_to_equity:MISSING_INPUT; 2019:net_debt:MISSING_INPUT; 2019:net_debt_to_ebitda:MISSING_INPUT; 2020:debt_to_assets:MISSING_INPUT; 2020:debt_to_equity:MISSING_INPUT; 2020:net_debt:MISSING_INPUT; 2020:net_debt_to_ebitda:MISSING_INPUT; 2021:debt_to_assets:MISSING_INPUT; 2021:debt_to_equity:MISSING_INPUT; 2021:net_debt:MISSING_INPUT; 2021:net_debt_to_ebitda:MISSING_INPUT; 2022:debt_to_assets:MISSING_INPUT; 2022:debt_to_equity:MISSING_INPUT; 2022:net_debt:MISSING_INPUT; 2022:net_debt_to_ebitda:MISSING_INPUT; 2023:debt_to_assets:MISSING_INPUT; 2023:debt_to_equity:MISSING_INPUT; 2023:net_debt:MISSING_INPUT; 2023:net_debt_to_ebitda:MISSING_INPUT; 2024:debt_to_assets:MISSING_INPUT; 2024:debt_to_equity:MISSING_INPUT; 2024:net_debt:MISSING_INPUT; 2024:net_debt_to_ebitda:MISSING_INPUT; 2025:debt_to_assets:MISSING_INPUT; 2025:debt_to_equity:MISSING_INPUT; 2025:net_debt:MISSING_INPUT; 2025:net_debt_to_ebitda:MISSING_INPUT; 2026:debt_to_assets:MISSING_INPUT; 2026:debt_to_equity:MISSING_INPUT; 2026:net_debt:MISSING_INPUT; 2026:net_debt_to_ebitda:MISSING_INPUT,
MSFT,HISTORICAL_ANALYSIS,READY,dcbe12dcd1a6ef1c72b6cf6c5a3b30d6da77e40ed920c234d4b334e193852a59,historical-v1.0,4643105a7a0c8c8a88288f7ac06685846d71770dd4eccd5a546e5ae1dcb489f1,,
MSFT,BUSINESS_QUALITY,READY,f68bda79a27249dbe7b15094bc02156b8239411a03e9778d64cdebab61436999,quality-v1.0,94f1096ef97a0ece6000d40242c14ee0881fad906c6e535acc1525a30273a783,,
MSFT,MARKET_DATA,READY,47534d873bc3a4ad68821d3a7456a0bd12910f54da180ff24a7c881fc90b9ce5,market-data-v1.0,98ad93d4bc25cb1d3aebcd909387ef99a14939054d0eada9e8552cceaf53f8dc|b0c183a75668e45acb3a42162b8075cbe51c4512cfce3b219f0d9df50989f620,,
MSFT,ASSUMPTIONS,REVIEW_REQUIRED,545efdad1acf9928d5979fc6afe96f0f5f082b0da76fd18b93e251cf19a3f7c8,assumption-engine-v1.0,5b30ac1c1adf4486f8cd5ab61b035ee2cc417eed1ffdb6a4a7120fe7f8e89ed5,,
MSFT,VALUATION,READY_FOR_PREVIEW,f552db9345fcbd5ccfd6e4ee761938fcddb0dd04115ca5e2a6bb0ebe1c7b9cc3,valuation-v1.0,7dc5f3e15f6c9c0316d661973bc527e385659d4ee0e4518043acdee94fdefeed,,
TSM,FINANCIAL_DATA,REVIEW_REQUIRED,4d951ef34da01110ba67da77cdc31558b5f6d32545dbaab5f5a925ea1a6ec11e,preferred-data-v1,e6cc6eb7d83decc861ce94d8f4d7574094c0f3dcbfd8eaf71eedf86f94c209bb,,2016 short_term_debt: primary_semantic_review_required; 2017 short_term_debt: primary_semantic_review_required; 2018 short_term_debt: primary_semantic_review_required; 2019 short_term_debt: primary_semantic_review_required; 2020 short_term_debt: primary_semantic_review_required; 2021 short_term_debt: primary_semantic_review_required; 2022 short_term_debt: primary_semantic_review_required; 2023 short_term_debt: primary_semantic_review_required; 2024 short_term_debt: primary_semantic_review_required; 2025 depreciation_amortization: primary_semantic_review_required; 2025 short_term_debt: primary_semantic_review_required
